path,text
5.화재_10010_label.wav,불났어
5.화재_10012_label.wav,화재다
5.화재_10013_label.wav,불이다
5.화재_10014_label.wav,불났어
5.화재_10018_label.wav,화재다
5.화재_10028_label.wav,화재다
5.화재_10033_label.wav,불났어
5.화재_10042_label.wav,불났어
5.화재_10045_label.wav,불났다
5.화재_10047_label.wav,화재다
5.화재_10052_label.wav,불이다
5.화재_10054_label.wav,화재났어
5.화재_10056_label.wav,화재다
5.화재_10058_label.wav,화재났어
5.화재_10059_label.wav,불났다
5.화재_10061_label.wav,불났다
5.화재_10070_label.wav,불이다
5.화재_10074_label.wav,화재다
5.화재_10078_label.wav,불났어
5.화재_10097_label.wav,불이다
5.화재_10103_label.wav,화재다
5.화재_10104_label.wav,화재났어
5.화재_10110_label.wav,불이다
5.화재_10111_label.wav,불이다
5.화재_10117_label.wav,불났다
5.화재_10126_label.wav,화재다
5.화재_10127_label.wav,화재다
5.화재_10145_label.wav,화재났어
5.화재_10156_label.wav,화재다
5.화재_10165_label.wav,불났다
5.화재_10169_label.wav,화재다
5.화재_10178_label.wav,불이다
5.화재_10182_label.wav,불났다
5.화재_10195_label.wav,화재났어
5.화재_10211_label.wav,불났다
5.화재_10214_label.wav,화재났어
5.화재_10215_label.wav,불났어
5.화재_10218_label.wav,불이다
5.화재_10221_label.wav,화재다
5.화재_10223_label.wav,불났다
5.화재_10224_label.wav,불났다
5.화재_10230_label.wav,불났다
5.화재_10231_label.wav,불났다
5.화재_10247_label.wav,불났어
5.화재_10260_label.wav,화재났어
5.화재_10262_label.wav,화재났어
5.화재_10274_label.wav,불났다
5.화재_10279_label.wav,불났어
5.화재_10289_label.wav,불났어
5.화재_10290_label.wav,불났다
5.화재_10295_label.wav,화재다
5.화재_10297_label.wav,화재다
5.화재_10306_label.wav,불이다
5.화재_10307_label.wav,불났어
5.화재_10309_label.wav,불났어
5.화재_10310_label.wav,불났다
5.화재_10317_label.wav,불났어
5.화재_10328_label.wav,불났어
5.화재_10329_label.wav,화재났어
5.화재_10341_label.wav,화재났어
5.화재_10342_label.wav,불이다
5.화재_10343_label.wav,화재났어
5.화재_10347_label.wav,불났어
