                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.158,                 4.2052,                 4.0185,                0.00232,                 0.2248,                0.00657,                0.00174,                      0,                    inf,                      0,               0.070134,              0.0033185,              0.0033185
                      1,                  2.683,                 3.6143,                 3.3377,                0.28483,                0.08157,                0.06004,                0.03047,                      0,                    inf,                      0,               0.040081,              0.0065991,              0.0065991
                      2,                 2.0668,                 3.0818,                 2.6725,                 0.2711,                0.12856,                0.07549,                0.04303,                      0,                    inf,                      0,              0.0099758,               0.009827,               0.009827
                      3,                 1.6904,                 2.6896,                 2.2797,                0.53238,                0.17591,                0.12272,                0.06484,                      0,                    inf,                      0,              0.0097624,              0.0097624,              0.0097624
                      4,                 1.5597,                 2.5035,                 2.1238,                  0.439,                0.19079,                0.13516,                0.06675,                      0,                    inf,                      0,              0.0097624,              0.0097624,              0.0097624
                      5,                 1.4976,                 2.3744,                 2.0398,                0.44516,                0.17064,                0.13709,                0.06188,                      0,                    inf,                      0,              0.0096832,              0.0096832,              0.0096832
                      6,                 1.4587,                 2.2689,                  2.004,                0.46949,                0.22544,                0.15015,                0.07029,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                      7,                 1.4146,                 2.1621,                 1.9482,                0.42603,                0.24912,                0.18951,                0.09444,                      0,                    inf,                      0,              0.0095248,              0.0095248,              0.0095248
                      8,                 1.3812,                 2.0993,                 1.9121,                0.55324,                0.20411,                0.17201,                0.07714,                      0,                    inf,                      0,              0.0094456,              0.0094456,              0.0094456
                      9,                 1.3586,                 2.0374,                 1.8861,                0.60177,                 0.2281,                 0.1893,                0.09546,                      0,                    inf,                      0,              0.0093664,              0.0093664,              0.0093664
